Period,Lookback_Days,portfolio_risk,stock,weight
2023-01,30,19.999982643536914,"['BCIC.JK', 'EXCL.JK', 'SINI.JK']","[0.1, 0.08, 0.82]"
2023-02,30,7.920006188797489,"['BRIS.JK', 'WINE.JK']","[0.1, 0.9]"
2023-03,30,4.374988076366828,"['AMAR.JK', 'CHIP.JK']","[0.1, 0.9]"
2023-04,30,4.653721869413645,"['BBSI.JK', 'BMAS.JK', 'CHIP.JK']","[0.0, 0.1, 0.9]"
2023-05,30,9.452061036907448,"['CUAN.JK', 'NISP.JK']","[0.9, 0.1]"
2023-06,30,10.075249486515753,"['HITS.JK', 'NISP.JK']","[0.9, 0.1]"
2023-07,30,9.497289551081662,"['BBHI.JK', 'UNIQ.JK']","[0.1, 0.9]"
2023-08,30,8.82174611280642,"['ALKA.JK', 'BNBA.JK']","[0.9, 0.1]"
2023-09,30,10.163003172897975,"['IKBI.JK', 'NOBU.JK']","[0.9, 0.1]"
2023-10,30,12.14499721911366,"['NOBU.JK', 'POLU.JK']","[0.1, 0.9]"
2023-11,30,9.902076043034262,"['BBSI.JK', 'DOOH.JK']","[0.1, 0.9]"
2023-12,30,12.761912353787755,"['ARTO.JK', 'SOTS.JK']","[0.1, 0.9]"
,,,